grammar,type,meaning,lesson,link
"~ㄴ/은/는/던 대로","expression","""As/in the same way as"" an experienced or stated event","79","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-79/"
"그대로","adverb","""As it is""; leaving something unchanged","79","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-79/"
"마음대로","adverb","""As one wishes/at will""","79","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-79/"
"끌다 (인기를 끌다)","verb","""To pull/drag""; used with 인기 to mean ""attract popularity""","79","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-79/"
"어울리다","verb","""To suit/match/go well together""","79","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-79/"
"당연하다 / 당연히","adjective","""Obvious/natural""; adverb 당연히 ""obviously/naturally""","79","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-79/"
"알맞다","adjective","""Appropriate/suitable""; things that go well together","79","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-79/"
"~아/어서는 안 되다","expression","""One should not""; doing the action causes a problem","80","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-80/"
"~(으)면 안 되다","expression","""One must not / it's not okay if""; prohibition","80","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-80/"
"~지 않으면 안 되다","expression","Double negative; ""must do / can't leave undone""","80","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-80/"
"~(으)면 되다","expression","""You should/can just""; suggests a solution, all will be fine","80","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-80/"
"~아/어도 되다 (permission)","expression","Permission; ""one may/can""","80","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-80/"
"~(으)니까","connective","""Because/so""; reason or excuse, often allows past tense","81","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-81/"
"~(으)니","connective","""Because""; written/background-info variant of ~(으)니까","81","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-81/"
"~구나/~군/~군요","sentence ending","Expresses realization of newly discovered information (""oh, I didn't realize..."")","82","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-82/"
"그렇구나","expression","""Oh, I see""; realization referring to prior context","82","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-82/"
"~네(요)","sentence ending","Expresses surprise/admiration at a newly realized fact","83","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-83/"
"~겠네(요)","sentence ending","Realization about what ""must be the case"" from evidence","83","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-83/"
"그렇네(요)","expression","Surprise at a newly confirmed fact as another states it","83","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-76-83/lesson-83/"
"~자마자","connective","""As soon as""; attaches directly to a verb stem","84","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-84/"
"~는 대로 (as soon as)","connective","""As soon as""; present-tense alternative to ~자마자","84","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-84/"
"~자 (as soon as)","connective","""As soon as"" (completed actions) / cause-and-effect","84","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-84/"
"~이자","particle","Attached to 이다; ""being both X and Y at once""","84","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-84/"
"~ㄹ/을 줄 알다/모르다","expression","""To know / not know how to"" do something","85","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-85/"
"~ㄴ/은/는 줄 알다/모르다","expression","""To mistakenly think / not realize"" something is true","85","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-85/"
"~다시피","connective","""As you know/see""; refers to listener's perception","85","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-85/"
"~(으)시다시피","honorific","Honorific version of ~다시피 (""as you, sir/teacher, know"")","85","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-85/"
"아니라","expression","Contrasts two nouns; ""not X but Y""","86","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-86/"
"~는 게 아니라","expression","Negates a whole clause; ""not doing X but Y""","86","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-86/"
"그게 아니라","expression","""It's not that...""; refers back to a prior situation","86","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-86/"
"다름이 아니라","expression","Formal transition from small talk to business (""the thing is..."")","86","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-86/"
"~기로 하다","expression","""To decide to do""; 하다 takes past tense to mark when decided","87","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-87/"
"~기로 결정하다","expression","""To decide to do""; 결정하다 substitute for 하다","87","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-87/"
"~다가","connective","Marks a shift between actions; one action stops and another begins","88","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-88/"
"~았/었다가","connective","Past form; a completed action before the next one starts","88","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-88/"
"~에다가","particle","Combines location marker with ~다가; ""adding to a place/object""","88","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-88/"
"있다가","expression","""Later/after a while""; temporal connector (e.g., 조금 있다가)","88","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-88/"
"~에 비해(서)","particle","""Compared to""; comparison marker","89","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-89/"
"배","counter","""Times/fold""; counter for orders of magnitude (두 배, 세 배)","89","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-89/"
"~분의~","expression","Fraction construction (denominator 분의 numerator), e.g. 4분의 1","89","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-89/"
"비교하다","verb","""To compare""; used with ~와/과/하고","89","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-89/"
"~잖아(요)","sentence ending","""As you know / don't forget that""; asserts shared knowledge","90","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-90/"
"있잖아(요)","expression","Sentence-opener used while gathering thoughts (""you know...."")","90","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-90/"
"~거든(요)","sentence ending","""Because""; gives the listener new information they don't know","91","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-91/"
"~거든 (if/when)","connective","""If/when"" conditional, typically with imperative endings","91","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-84-91/lesson-91/"
"~도록","connective","""So that/in order to/be sure to""; makes a clause occur","92","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-92/"
"~도록 하다","expression","""Will be sure to / will make (someone do)""","92","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-92/"
"~도록 (to the extent of)","connective","""To the point/extent that""; e.g. 숨을 못 쉬도록","92","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-92/"
"죽도록","adverb","""To the point of death""; ""like crazy/relentlessly""","92","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-92/"
"~이 지나도록","expression","""(time) passing without...""; e.g. 3년이 지나도록","92","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-92/"
"~지/~죠","sentence ending","Turns a statement into a question the speaker half-knows (""..., right?"")","93","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-93/"
"~아/어야지","sentence ending","~지 with obligation; ""I/you must do""","93","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-93/"
"당연하지","expression","Affirmative reply; ""of course!""","93","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-93/"
"~게 되다","expression","""To end up (doing)""; an outcome out of one's control","94","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-94/"
"어쩌다","adverb","""By chance""; pairs with ~게 되다 for uncontrolled outcomes","94","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-94/"
"뿐","particle","Attached to nouns; ""only/just"" (e.g. 너뿐이야)","95","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-95/"
"~뿐만 아니라 (noun)","expression","""Not only X but also""; attached to nouns","95","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-95/"
"~ㄹ/을 뿐이다","expression","""To just/merely (be/do)""; verb/adjective ending","95","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-95/"
"~ㄹ/을 뿐","expression","Mid-sentence ""just (did X without Y)""","95","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-95/"
"~ㄹ/을 뿐만 아니라","expression","""Not only X but also"" for verbs/adjectives","95","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-95/"
"~(으)려면","connective","""If one intends/wants to""; combines ~(으)려고 and ~(으)면","96","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-96/"
"~아/어 가지고","connective","""Because""; connects clauses showing reason for next action","97","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-97/"
"갖다","verb","Abbreviation of 가지다 (to have); can't take vowel-initial endings","97","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-97/"
"갖다(가)","verb","갖다 + ~다(가); ""to take/obtain then do something with it""","97","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-97/"
"머물다","irregular","Abbreviation of 머무르다 (to stay); ㄹ irregular, no vowel-initial endings","97","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-97/"
"서둘다","irregular","Abbreviation of 서두르다 (to rush); ㄹ irregular, no vowel-initial endings","97","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-97/"
"서툴다","irregular","Abbreviation of 서투르다 (to be unskilled); ㄹ irregular, no vowel-initial endings","97","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-97/"
"~은/ㄴ/는 척하다","expression","""To pretend to""; auxiliary verb of pretense","98","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-98/"
"체하다","expression","Alternative form of 척하다; ""to pretend to""","98","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-98/"
"~더라도","connective","""Even if""; emphatic, regardless of outcome","99","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-99/"
"~았/었더라도","connective","Past form; ""even if X had occurred"" (hypothetical)","99","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-99/"
"~ㄹ/을 텐데(요)","sentence ending","Supposition/probability with nuance of regret, worry, or annoyance","100","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-100/"
"~ㄹ/을 테니까","connective","Probability plus intention/suggestion; connects clauses","100","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-100/"
"~았/었더라면 (lesson 100)","connective","""If X had occurred""; hypothetical past condition","100","https://www.howtostudykorean.com/upper-intermediate-korean-grammar/unit-4-lessons-92-100/lesson-100/"
"난/넌/날/널 (abbreviations)","pronoun","casual abbreviations of 나는/너는/나를/너를","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"건/걸 (abbreviations)","particle","casual abbreviations of 것은/것을","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"particle omission","particle","dropping particles entirely in informal speech","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"ㅋㅋ","expression","onomatopoeia for laughter, like ""lol""","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"ㅠㅠ","expression","crying/sad emoticon","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"넘","adverb","casual abbreviation of 너무 (very/too)","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"낼","noun","casual abbreviation of 내일 (tomorrow)","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"꺼","noun","casual variant of 거 (thing)","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"그러니까 (agreement)","expression","""I know, right!"" / showing agreement","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"그치/그쵸","expression","abbreviation of 그렇지/그렇죠, seeking agreement","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"얘/걔/쟤","pronoun","abbreviations of 이 아이/그 아이/저 아이 (this/that kid)","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"~ㅇ (cute ending)","suffix","playful ㅇ added to words for cute informal tone","101","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-101/"
"~대(요)","sentence ending","abbreviated quoted statement, ~ㄴ/는다고 해(요) (someone said)","102","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-102/"
"~댔어(요)","sentence ending","past tense of ~대(요), quoted statement said in the past","102","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-102/"
"~(이)래(요)","sentence ending","abbreviated quoted statement with 이다, ~(이)라고 해(요)","102","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-102/"
"~(이)랬어(요)","sentence ending","past tense of ~(이)래(요)","102","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-102/"
"~(으)래(요)","sentence ending","abbreviated quoted command, ~(으)라고 해(요)","102","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-102/"
"~재(요)","sentence ending","abbreviated quoted suggestion, ~자고 해(요) (said let's)","102","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-102/"
"~쟀어(요)","sentence ending","past tense of ~재(요)","102","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-102/"
"~냬(요)","sentence ending","abbreviated quoted question, ~(느)냐고 하다 (asked whether)","102","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-102/"
"한 (approximation)","determiner","placed before numbers to mean ""about/approximately""","103","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-103/"
"약 (approximation)","prefix","""approximately"" before numbers (more formal than 한)","103","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-103/"
"~(으)므로","connective","because/therefore; formal cause connector","103","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-103/"
"그러므로","connective","therefore (formal), from 그렇다 + ~(으)므로","103","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-103/"
"전반","noun","""in general / across the board"" attached to nouns","103","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-103/"
"~당하다","suffix","attaches to nouns to make passive verbs of negative outcomes","103","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-103/"
"~는/은 (comparison with ~에/~에서)","particle","topic particle marking comparison/contrast of a situation","104","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-104/"
"~는/은 수 (contrast of ability)","particle","topic particle on 수 to show contrasting ability","104","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-104/"
"~지는 않다 / ~진 않다","verb ending","indicates a fact contradicts expectations","104","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-104/"
"~긴 하다 / ~기는 하다","verb ending","admits/downplays a fact (""it is, but..."")","104","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-104/"
"~는/은 (double, two-thing comparison)","particle","topic particle used twice to compare two things","104","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-104/"
"~는/은 (clarification, ""what about"")","particle","topic particle on a noun alone to ask about that item","104","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-104/"
"~아/어지다 (intransitive)","verb","intransitive: something happens without specified cause","105","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-105a/"
"~아/어뜨리다","verb","transitive: deliberate action by a subject","105","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-105a/"
"~화 (化)","suffix","noun suffix ""-ification / change into""","105","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-105a/"
"~화하다","verb","verb form of ~화 nouns (e.g. 산업화하다 to industrialize)","105","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-105a/"
"이 (name buffer)","particle","added after names ending in 받침 before markers","105","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-105a/"
"~아/어하다 (observed feeling)","verb","turns adjective into verb describing another's observed feeling","105","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-105a/"
"~께서","honorific","honorific subject marker for respected persons","105","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-105a/"
"~께서는","honorific","honorific subject marker with contrastive function","105","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-105a/"
"~든지","connective","whether...or...; doesn't matter if","106","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-106/"
"~든지 (간에)","connective","same as ~든지 with 간에 emphasizing indifference","106","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-106/"
"~든지 말든지","connective","whether doing X or not doing X","106","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-106/"
"뭐든지","expression","whatever / anything (뭐 + ~든지)","106","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-106/"
"누구든지","expression","whoever / anyone (누구 + ~든지)","106","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-106/"
"언제든지","expression","whenever / anytime (언제 + ~든지)","106","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-106/"
"어디든지","expression","wherever / anywhere (어디 + ~든지)","106","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-106/"
"~든지 상관없다","expression","it doesn't matter whether...","106","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-106/"
"~에도","particle","also/even at a location","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~ㄹ 때도","expression","even when (at that time too)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~에게도","particle","also/even to someone","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~한테도","particle","also/even to someone (informal)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~에서도","particle","also/even at a location (action)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~(으)로도","particle","also/even by means of","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~(으)로부터도","particle","also/even from a source","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~까지도","particle","even (emphasizes extent)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~는지도","particle","even (stresses one uncertainty among others)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~는데도","connective","despite / even though (stronger than ~는데)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~고도","connective","even after (action occurs despite prior action)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~다가도","connective","even while (situation arises during action)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~면서도","connective","but/while (opposition between simultaneous clauses)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~ㄹ 줄도","expression","didn't even know how to","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~ㄹ 수도 있다","expression","it's possible that","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~ㄹ 수도 없다","expression","can't even (stresses inability)","107","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-107/"
"~었었~ (past perfect)","tense","past perfect; action happened and is no longer continuing","108","https://www.howtostudykorean.com/unit-5/lessons-101-108/lesson-108/"
"~ㄴ가 보다","expression","I guess / it seems (with 이다 and vowel-ending adjectives)","109","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-109/"
"~은가 보다","expression","I guess / it seems (with consonant-ending adjectives)","109","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-109/"
"~는가 보다","expression","I guess / it seems (with verbs, 있다, 없다)","109","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-109/"
"~나 보다","expression","I guess / it seems (alternative form for adjectives and verbs)","109","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-109/"
"~았/었나 보다","expression","I guess / it seems that (something happened) - past","109","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-109/"
"~겠나 보다","expression","I guess (presumed future occurrence)","109","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-109/"
"~네(요) (with 보다)","sentence ending","emphasizes newly discovered information (""apparently"")","109","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-109/"
"어쩔 수 없다","expression","there's nothing one can do; unavoidable (from 어쩌다)","110","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-110/"
"어쩔 수 없이","adverb","unavoidably / had no choice but to","110","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-110/"
"어쩔 수 없는 + 명사","expression","attributive ""unavoidable/uncontrollable"" modifying a noun","110","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-110/"
"~(이)라도","particle","not the most preferred but better than nothing; ""even / at least""","111","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-111/"
"어디라도 / 언제라도 / 누구라도 / 뭐라도","expression","question word + ~라도: anywhere/anytime/anybody/anything","111","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-111/"
"~는 편이다","expression","to be on the [adjective] side; tend to / fairly often","112","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-112/"
"~은/ㄴ 편이다","expression","past/adjective variant of ~는 편이다","112","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-112/"
"편 (noun)","noun","""side"" (directional or supportive)","112","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-112/"
"뒤편/왼편/오른편/반대편/건너편","noun","directional compounds with 편 (behind/left/right/opposite/across)","112","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-112/"
"~는 길이다","expression","to be on one's way to/from a place","113","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-113/"
"~는 길에","expression","while on the way to/from; en route","113","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-113/"
"~ㄹ/을 길이 없다","expression","there is no way to / impossible to (verb)","113","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-113/"
"~는 김에","expression","while doing X, take the opportunity to do Y","114","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-114/"
"말이 나오는 김에","expression","now that you mention it / now that it's come up","114","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-114/"
"~ㄹ/을걸","sentence ending","expresses regret (""I should have..."")","115","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-115/"
"~ㄹ/을걸 그랬다","expression","I should have done... (emphasized regret)","115","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-115/"
"~ㄹ/을걸 그랬나 봐","expression","it looks like I should have...","115","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-115/"
"~ㄹ/을걸 그랬나?","expression","should I have...? (doubt about past action)","115","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-115/"
"~ㄹ/을걸 그랬지","expression","we should have...right? (seeking agreement)","115","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-115/"
"안 ~ㄹ/을걸","expression","I shouldn't have... (negative regret)","115","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-115/"
"~지 말걸","expression","I shouldn't have... (alternative negative regret)","115","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-115/"
"괜히","adverb","unnecessarily / for nothing","115","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-115/"
"~ㄴ/은 채(로)","expression","with / while in the state of (state persists through an action)","116","https://www.howtostudykorean.com/unit-5/lessons-109-116/lesson-116/"
"~더~","verb ending","recalling a fact from firsthand past experience","117","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-117/"
"~던가","sentence ending","asking oneself a yes/no question about a past experience","117","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-117/"
"~았/었던가","sentence ending","past tense of ~던가 (""did I...?"")","117","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-117/"
"~더라","sentence ending","stating a fact from firsthand experience","118","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-118/"
"~라 (stating fact)","sentence ending","older principle for stating facts (found in ~더라, 아니라)","118","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-118/"
"~더니","connective","I noticed/experienced X firsthand, and then Y resulted","119","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-119/"
"~았/었더니","connective","past tense of ~더니 (something had occurred, then result)","119","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-119/"
"~다니","sentence ending","emotional reaction to what one heard (""I can't believe that..."")","120","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-120/"
"~ㄴ/는다니","sentence ending","~다니 with the quoted clause in future/present-verb tense","120","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-120/"
"~다 보면","expression","if one keeps doing something, the next action will occur","121","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-121/"
"~다(가) 보니(까)","expression","while doing an action, one realizes/notices something","122","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-122/"
"~아/어 보니(까)","expression","now that I have done / after trying, I realized","123","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-123/"
"~ㄹ/을 만하다","adjective","worth doing / possible to do","124","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-124/"
"~ㄹ/을 만한 + 명사","expression","attributive ""worth ~ing"" modifying a noun","124","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-124/"
"가치가 있다","expression","to have value / be worth it","124","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-124/"
"~ㄴ/는다니까","sentence ending","I (already) said that... (frustration at repeating)","125","https://www.howtostudykorean.com/unit-5/unit-5-lessons-117-125/lesson-125-i-said-that/"
